사용자/관리자,개발순서,메서드,도메인,API 경로,기능,기능설명
사용자,1차,POST,user/member," /member/join",회원가입 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%ED%9A%8C%EC%9B%90%EA%B0%80%EC%9E%85%206e5bdfb849fa832fa5b601e4c33873c9.md),회원가입확인
사용자,1차,POST,user/member,/member/email/send-code,이메일인증 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%9D%B4%EB%A9%94%EC%9D%BC%EC%9D%B8%EC%A6%9D%204aebdfb849fa835c872b817a1b7978b6.md),인증코드 발송
사용자,1차,POST,user/member,/member/email/verify-code ,이메일인증 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%9D%B4%EB%A9%94%EC%9D%BC%EC%9D%B8%EC%A6%9D%204aebdfb849fa835c872b817a1b7978b6.md),인증코드 검증
사용자,1차,POST,user/member,/member/login,로그인 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EB%A1%9C%EA%B7%B8%EC%9D%B8%20626bdfb849fa839fb03201d7b49b4d2f.md),로그인
사용자,1차,POST,user/member,/member/token/refresh,로그인 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EB%A1%9C%EA%B7%B8%EC%9D%B8%20626bdfb849fa839fb03201d7b49b4d2f.md),토큰 재발급
사용자,1차,POST,user/member," /member/logout",로그인 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EB%A1%9C%EA%B7%B8%EC%9D%B8%20626bdfb849fa839fb03201d7b49b4d2f.md),로그아웃
사용자,1차,GET,user/member,/member/me,회원정보 관리 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%ED%9A%8C%EC%9B%90%EC%A0%95%EB%B3%B4%20%EA%B4%80%EB%A6%AC%206dabdfb849fa835f863781c0417aac20.md),내 정보 조회
사용자,2차,PATCH,user/member,/member/me,회원정보 관리 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%ED%9A%8C%EC%9B%90%EC%A0%95%EB%B3%B4%20%EA%B4%80%EB%A6%AC%206dabdfb849fa835f863781c0417aac20.md),회원 정보 수정
사용자,1차,GET,user/product,/product/list,상품리스트페이지 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%83%81%ED%92%88%EB%A6%AC%EC%8A%A4%ED%8A%B8%ED%8E%98%EC%9D%B4%EC%A7%80%2065dbdfb849fa82fbb6500110b7b424fd.md),상품 리스트
사용자,1차,GET,user/product,/product/{product_id},상품 상세 페이지 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20660bdfb849fa82a2845c8181cfad48dd.md),상품 상세
사용자,1차,GET,user/cart,/cart,장바구니 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%204edbdfb849fa83b19a990144f3d9b7fc.md)," 장바구니 조회"
사용자,1차,POST,user/cart,/cart,장바구니 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%204edbdfb849fa83b19a990144f3d9b7fc.md),장바구니 담기
사용자,1차,PATCH,user/cart,/cart/{item_id},장바구니 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%204edbdfb849fa83b19a990144f3d9b7fc.md),수량변경
사용자,1차,DELETE,user/cart,/cart,장바구니 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%204edbdfb849fa83b19a990144f3d9b7fc.md),개별삭제
사용자,1차,POST,user/order,/order/prepare,주문정보입력 페이지(결제) (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%A3%BC%EB%AC%B8%EC%A0%95%EB%B3%B4%EC%9E%85%EB%A0%A5%20%ED%8E%98%EC%9D%B4%EC%A7%80(%EA%B2%B0%EC%A0%9C)%20227bdfb849fa8273a42d81be9ac71708.md),결제 준비(포트원api에따라 달라짐)
사용자,1차,POST,user/order,/order/complete,주문정보입력 페이지(결제) (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%A3%BC%EB%AC%B8%EC%A0%95%EB%B3%B4%EC%9E%85%EB%A0%A5%20%ED%8E%98%EC%9D%B4%EC%A7%80(%EA%B2%B0%EC%A0%9C)%20227bdfb849fa8273a42d81be9ac71708.md),결제 검증 및 주문 확정
사용자,1차,GET,user/order,/order/list,주문내역 조회 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%A3%BC%EB%AC%B8%EB%82%B4%EC%97%AD%20%EC%A1%B0%ED%9A%8C%20734bdfb849fa829ba4a501e1041ce6d6.md),내 주문내역
사용자,1차,GET,user/order,/order/{order_id},주문내역 조회 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%A3%BC%EB%AC%B8%EB%82%B4%EC%97%AD%20%EC%A1%B0%ED%9A%8C%20734bdfb849fa829ba4a501e1041ce6d6.md),주문 상세
사용자,2차,POST,user/order,/order/{order_id}/refund,주문내역 조회 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%A3%BC%EB%AC%B8%EB%82%B4%EC%97%AD%20%EC%A1%B0%ED%9A%8C%20734bdfb849fa829ba4a501e1041ce6d6.md),환불요청
사용자,2차,GET,user/coupon,/mypage/coupon,쿠폰함 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%BF%A0%ED%8F%B0%ED%95%A8%20845bdfb849fa8275b0da81acab416fcf.md),쿠폰함 조회
사용자,2차,GET,user/coupon,/event/coupon/list,이벤트페이지(쿠폰 다운로드) (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%9D%B4%EB%B2%A4%ED%8A%B8%ED%8E%98%EC%9D%B4%EC%A7%80(%EC%BF%A0%ED%8F%B0%20%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C)%205cfbdfb849fa826e86a581f002540975.md),이벤트 쿠폰 목록
사용자,2차,POST,user/coupon,/event/coupon/{coupon_id}/download,이벤트페이지(쿠폰 다운로드) (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%9D%B4%EB%B2%A4%ED%8A%B8%ED%8E%98%EC%9D%B4%EC%A7%80(%EC%BF%A0%ED%8F%B0%20%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C)%205cfbdfb849fa826e86a581f002540975.md),쿠폰 받기
사용자,3차,GET,user/cs,/cs/notice/list,공지사항게시판 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD%EA%B2%8C%EC%8B%9C%ED%8C%90%203f8bdfb849fa82fd9c948183d1a869d6.md),공지 목록
사용자,3차,GET,user/cs,/cs/notice/{id},공지사항게시판 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD%EA%B2%8C%EC%8B%9C%ED%8C%90%203f8bdfb849fa82fd9c948183d1a869d6.md),공지 상세
사용자,2차,GET,user/cs,/cs/qna/list,문의하기 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EB%AC%B8%EC%9D%98%ED%95%98%EA%B8%B0%207f1bdfb849fa83c997e7015eb095c2c4.md),내 문의 목록
사용자,2차,GET,user/cs,/cs/qna/{id},문의하기 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EB%AC%B8%EC%9D%98%ED%95%98%EA%B8%B0%207f1bdfb849fa83c997e7015eb095c2c4.md),문의 상세
사용자,2차,PATCH,user/cs," /cs/qna/{id}",문의하기 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EB%AC%B8%EC%9D%98%ED%95%98%EA%B8%B0%207f1bdfb849fa83c997e7015eb095c2c4.md),문의 수정
사용자,2차,DELETE,user/cs,/cs/qna/{id},문의하기 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EB%AC%B8%EC%9D%98%ED%95%98%EA%B8%B0%207f1bdfb849fa83c997e7015eb095c2c4.md),문의 삭제
사용자,2차,GET,user/cs,/cs/qna/faq,문의하기 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EB%AC%B8%EC%9D%98%ED%95%98%EA%B8%B0%207f1bdfb849fa83c997e7015eb095c2c4.md),FAQ 목록
사용자,3차,POST,user/cs,/chatbot/ask,고객센터 챗봇페이지 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B3%A0%EA%B0%9D%EC%84%BC%ED%84%B0%20%EC%B1%97%EB%B4%87%ED%8E%98%EC%9D%B4%EC%A7%80%20038bdfb849fa83c890e7817a1ebf79c2.md),챗봇 질문
관리자,1차,POST,admin,/admin/login,관리자_로그인 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EB%A1%9C%EA%B7%B8%EC%9D%B8%20195bdfb849fa820ebc04015b66c38f74.md),관리자 로그인
관리자,1차,GET,admin,/admin/main,관리자_대시보드 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EB%8C%80%EC%8B%9C%EB%B3%B4%EB%93%9C%2061dbdfb849fa83b09a6c0182c69cef0c.md)," 대시보드"
관리자,1차,GET,admin/product,admin/product,관리자_상품관리 리스트(재고 포함) (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%EA%B4%80%EB%A6%AC%20%EB%A6%AC%EC%8A%A4%ED%8A%B8(%EC%9E%AC%EA%B3%A0%20%ED%8F%AC%ED%95%A8)%207dabdfb849fa826a985b81169ad782e0.md),상품 리스트(재고 포함)
관리자,1차,POST,admin/product,/admin/product,관리자_상품 등록 / 수정 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%20%EB%93%B1%EB%A1%9D%20%EC%88%98%EC%A0%95%2025fbdfb849fa834893e8019a956630aa.md),상품 등록
관리자,1차,GET,admin/product,/admin/product/{id},관리자_상품 등록 / 수정 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%20%EB%93%B1%EB%A1%9D%20%EC%88%98%EC%A0%95%2025fbdfb849fa834893e8019a956630aa.md),상품 상세 (수정용)
관리자,1차,PUT,admin/product,/admin/product/{id},관리자_상품 등록 / 수정 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%20%EB%93%B1%EB%A1%9D%20%EC%88%98%EC%A0%95%2025fbdfb849fa834893e8019a956630aa.md)," 상품 수정"
관리자,1차,PATCH,admin/product,/admin/product/{id}/status,"관리자_상품관리 리스트(재고 포함) (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%EA%B4%80%EB%A6%AC%20%EB%A6%AC%EC%8A%A4%ED%8A%B8(%EC%9E%AC%EA%B3%A0%20%ED%8F%AC%ED%95%A8)%207dabdfb849fa826a985b81169ad782e0.md), 관리자_상품 등록 / 수정 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%20%EB%93%B1%EB%A1%9D%20%EC%88%98%EC%A0%95%2025fbdfb849fa834893e8019a956630aa.md)",판매 상태 변경
관리자,1차,GET,admin/order,/admin/order,관리자_주문관리 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%A3%BC%EB%AC%B8%EA%B4%80%EB%A6%AC%2025abdfb849fa82e79b5f013173035bff.md),주문 리스트
관리자,1차,GET,admin/order,/admin/order/{id},관리자_주문관리 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%A3%BC%EB%AC%B8%EA%B4%80%EB%A6%AC%2025abdfb849fa82e79b5f013173035bff.md),주문 상세
관리자,1차,PATCH,admin/order,/admin/order/{id}/status,관리자_주문관리 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%A3%BC%EB%AC%B8%EA%B4%80%EB%A6%AC%2025abdfb849fa82e79b5f013173035bff.md)," 주문 상태 변경"
관리자,2차,POST,admin/order,/admin/order/{id}/refund,관리자_주문관리 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%A3%BC%EB%AC%B8%EA%B4%80%EB%A6%AC%2025abdfb849fa82e79b5f013173035bff.md)," 환불 처리"
관리자,3차,GET,admin/users,/admin/members,관리자_회원 관리 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%ED%9A%8C%EC%9B%90%20%EA%B4%80%EB%A6%AC%20be0bdfb849fa83b2880a01649d3450d3.md),회원 리스트
관리자,3차,GET,admin/users,/admin/members/{id},관리자_회원 관리 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%ED%9A%8C%EC%9B%90%20%EA%B4%80%EB%A6%AC%20be0bdfb849fa83b2880a01649d3450d3.md),회원 상태
관리자,3차,GET,admin/users,/admin/members/{id}/status,관리자_회원 관리 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%ED%9A%8C%EC%9B%90%20%EA%B4%80%EB%A6%AC%20be0bdfb849fa83b2880a01649d3450d3.md),회원 상태 변경
관리자,2차,GET,admin/coupon,/admin/coupon,관리자_쿠폰관리페이지 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%BF%A0%ED%8F%B0%EA%B4%80%EB%A6%AC%ED%8E%98%EC%9D%B4%EC%A7%80%2088cbdfb849fa835cb23001d2fd345068.md),쿠폰 리스트
관리자,2차,POST,admin/coupon,/admin/coupon,관리자_쿠폰관리페이지 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%BF%A0%ED%8F%B0%EA%B4%80%EB%A6%AC%ED%8E%98%EC%9D%B4%EC%A7%80%2088cbdfb849fa835cb23001d2fd345068.md),쿠폰 등록
관리자,2차,PUT,admin/coupon,/admin/coupon/{id},관리자_쿠폰관리페이지 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%BF%A0%ED%8F%B0%EA%B4%80%EB%A6%AC%ED%8E%98%EC%9D%B4%EC%A7%80%2088cbdfb849fa835cb23001d2fd345068.md),쿠폰 수정
관리자,2차,PATCH,admin/coupon,/admin/coupon/{id}/status,관리자_쿠폰관리페이지 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%BF%A0%ED%8F%B0%EA%B4%80%EB%A6%AC%ED%8E%98%EC%9D%B4%EC%A7%80%2088cbdfb849fa835cb23001d2fd345068.md),사용 중지
관리자,2차,GET,admin/qna,/admin/qna,관리자_QNA관리 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_QNA%EA%B4%80%EB%A6%AC%20358bdfb849fa8226977d011e6ffec3a7.md),문의 리스트
관리자,2차,GET,admin/qna,/admin/qna/{id},관리자_QNA관리 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_QNA%EA%B4%80%EB%A6%AC%20358bdfb849fa8226977d011e6ffec3a7.md),문의 상세
관리자,2차,POST,admin/qna,/admin/qna/{id}/answer,관리자_QNA관리 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_QNA%EA%B4%80%EB%A6%AC%20358bdfb849fa8226977d011e6ffec3a7.md),답변등록
관리자,3차,GET,admin/category,/admin/category,관리자_카테고리 페이지 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%20%ED%8E%98%EC%9D%B4%EC%A7%80%20b1fbdfb849fa835fb69881cc4d460330.md)," 카테고리 리스트"
관리자,3차,POST,admin/category,/admin/category,관리자_카테고리 페이지 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%20%ED%8E%98%EC%9D%B4%EC%A7%80%20b1fbdfb849fa835fb69881cc4d460330.md)," 카테고리 추가"
관리자,3차,PUT,admin/category,/admin/category/{id},관리자_카테고리 페이지 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%20%ED%8E%98%EC%9D%B4%EC%A7%80%20b1fbdfb849fa835fb69881cc4d460330.md)," 이름 수정"
관리자,3차,DELETE,admin/category,/admin/category/{id},관리자_카테고리 페이지 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%20%ED%8E%98%EC%9D%B4%EC%A7%80%20b1fbdfb849fa835fb69881cc4d460330.md)," 비활성 처리 "