사용자/관리자 구분,연관화면,도메인,기능,우선순위,기능설명,"API "
사용자,로그인,user/member,회원가입,상,신규 사용자가 회원가입을 수행한다," /member/join (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/member%20join%20995bdfb849fa82669e2381ebc716df41.md)"
사용자,회원가입,user/member,이메일인증,상,신규 사용자가 회원가입 시 메일로 인증번호를 보내주고 확인한다,"/member/email/send-code (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/member%20email%20send-code%20ee9bdfb849fa83f2825e0131fc8327c6.md), /member/email/verify-code  (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/member%20email%20verify-code%207adbdfb849fa82fd81c88162fc497873.md)"
사용자,로그인,user/member,로그인,상,기존 사용자가 인증을 수행한다,"/member/login (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/member%20login%20719bdfb849fa832e92b581ad4f30a51a.md), /member/token/refresh (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/member%20token%20refresh%20455bdfb849fa825ba1d80121cc48c750.md),  /member/logout (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/member%20logout%20accbdfb849fa8210ae6b015a6530369e.md)"
사용자,상품 페이지,user/product,상품리스트페이지,상,상품 리스트를 조회한다,/product/list (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/product%20list%200a0bdfb849fa8249bbcd0113f6d35ee1.md)
사용자,상품 페이지,user/product,상품 상세 페이지,상,상품 정보를 조회한다,/product/{product_id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/product%20%7Bproduct_id%7D%205b1bdfb849fa822c81ee81f73a09b957.md)
사용자,장바구니,user/cart,장바구니,상,기존 사용자가 장바구니에 등록한 상품을 조회한다,"/cart (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/cart%20361bdfb849fa823795bf815160622d8a.md), /cart (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/cart%20ca7bdfb849fa83c7ad0881ec3108f3b2.md), /cart/{item_id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/cart%20%7Bitem_id%7D%20d23bdfb849fa82d0b8c10166c901fc19.md), /cart (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/cart%20a71bdfb849fa82ea920e01953d76cf04.md)"
사용자,결제,user/order,주문정보입력 페이지(결제),상,기존 사용자가 구매를 하기위해 주문 정보를 입력한다,"/order/prepare (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/order%20prepare%2057ebdfb849fa821b9b4681f37f3ec0f7.md), /order/complete (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/order%20complete%20b57bdfb849fa8289ab1001a6c7d3e8fe.md)"
사용자,마이페이지,user/mypage,마이페이지 메인,상,기존 사용자가 마이페이지 페이지에 진입한다,
사용자,"마이페이지, 상단페이지",user/mypage,주문내역 조회,상,기존 사용자가 주문한 주문 내역을 확인한다,"/order/list (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/order%20list%20769bdfb849fa83f8bff08148f42f9844.md), /order/{order_id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/order%20%7Border_id%7D%20ff7bdfb849fa835b911f01daa91f12b9.md), /order/{order_id}/refund (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/order%20%7Border_id%7D%20refund%20b9fbdfb849fa8212b6a981598a6d9069.md)"
사용자,마이페이지,user/mypage,쿠폰함,상,기존 사용자가 가진 쿠폰함을 확인한다,/mypage/coupon (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/mypage%20coupon%2035abdfb849fa83d798d0017ca87fd2fd.md)
사용자,이벤트,user/event,이벤트페이지(쿠폰 다운로드),상,기존 사용자가 이벤트 페이지에 진입한다,"/event/coupon/{coupon_id}/download (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/event%20coupon%20%7Bcoupon_id%7D%20download%20633bdfb849fa8324b653010c2e3b6c8a.md), /event/coupon/list (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/event%20coupon%20list%20a5dbdfb849fa8396b67281d97d80afe0.md)"
사용자,고객센터,user/cs,공지사항게시판,상,사용자가 공지사항 게시판을 확인한다,"/cs/notice/list (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/cs%20notice%20list%20f32bdfb849fa8209974201617bab5a7b.md), /cs/notice/{id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/cs%20notice%20%7Bid%7D%205b8bdfb849fa83ee9f7881fabf3b68b3.md)"
사용자,"고객센터, 마이페이지",user/cs,문의하기,중,기존 사용자가 문의하기 게시판을 이용한다,"/cs/qna/faq (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/cs%20qna%20faq%20e8abdfb849fa833aa008816c6b258e5d.md), /cs/qna/{id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/cs%20qna%20%7Bid%7D%204e3bdfb849fa82ddb0b801d7b5b83d30.md),  /cs/qna/{id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/cs%20qna%20%7Bid%7D%20c90bdfb849fa838a9c11018399701dfa.md), /cs/qna/{id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/cs%20qna%20%7Bid%7D%20e2dbdfb849fa82cfb7e08164b50c5c92.md), /cs/qna/list (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/cs%20qna%20list%201eabdfb849fa835da0d00144ef844d1c.md)"
사용자,"마이페이지, 상단페이지",user/member,회원정보 관리,상,기존 사용자가 회원정보를 확인 및 수정한다,"/member/me (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/member%20me%207d3bdfb849fa8266969f81c344f13d3c.md), /member/me (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/member%20me%20879bdfb849fa83a4bca6017b8bb05f76.md)"
사용자,고객센터,chatbot(도메인),고객센터 챗봇페이지,상,사용자가 고객센터 챗봇페이지에서 질문을 한다,/chatbot/ask (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/chatbot%20ask%20235bdfb849fa831b8afe815d51c24641.md)
관리자,로그인,admin,관리자_로그인,상,관리자가 로그인 페이지에 진입한다,/admin/login (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20login%2085dbdfb849fa82369681019d2a02052f.md)
관리자,메인페이지,admin,관리자_대시보드,상,기존 관리자가 로그인 후 대시보드에 진입한다,/admin/main (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20main%20843bdfb849fa827dac7601496b3bee2d.md)
관리자,상품관리,admin/product,관리자_상품관리 리스트(재고 포함),상,기존 관리자가 상품관리 리스트에 진입한다,"admin/product (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20product%206bcbdfb849fa83b3b45001cde12e117c.md), /admin/product/{id}/status (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20product%20%7Bid%7D%20status%20034bdfb849fa831b8afa8140e4153eb6.md)"
관리자,상품관리,admin/product,관리자_상품 등록 / 수정,상,기존 관리자가 상품관리 상세페이지에 진입한다,"/admin/product (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20product%209c9bdfb849fa826599eb01a76b8f3d34.md), /admin/product/{id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20product%20%7Bid%7D%203c8bdfb849fa8384893e818b8519eddf.md), /admin/product/{id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20product%20%7Bid%7D%20b59bdfb849fa83a885e7012ce0ae379c.md), /admin/product/{id}/status (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20product%20%7Bid%7D%20status%20034bdfb849fa831b8afa8140e4153eb6.md)"
관리자,주문관리,admin/order,관리자_주문관리,상,기존 관리자가 주문관리페이지에 진입한다,"/admin/order (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20order%20e73bdfb849fa8307953981caf6dda782.md), /admin/order/{id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20order%20%7Bid%7D%20643bdfb849fa8288a2aa01383314cf6c.md), /admin/order/{id}/refund (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20order%20%7Bid%7D%20refund%20c8abdfb849fa83f1a58581fd7b316c3b.md), /admin/order/{id}/status (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20order%20%7Bid%7D%20status%20dbdbdfb849fa8314b1df0115bd4848ec.md)"
관리자,회원정보,admin/members,관리자_회원 관리,중,기존 관리자가 회원관리 페이지에 진입한다,"/admin/members (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20members%2028abdfb849fa8226a7dd812dfe6551d5.md), /admin/members/{id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20members%20%7Bid%7D%2059cbdfb849fa83118006818657a284c0.md), /admin/members/{id}/status (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20members%20%7Bid%7D%20status%2069ebdfb849fa83089aa7015eadccc4d6.md)"
관리자,쿠폰 발급 페이지,admin/coupon,관리자_쿠폰관리페이지,상,기존 관리자가 쿠폰 관리 페이지에 진입한다,"/admin/coupon (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20coupon%203e9bdfb849fa82449aeb01b294db33fd.md), /admin/coupon (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20coupon%20978bdfb849fa8312a55001ba08409e1b.md), /admin/coupon/{id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20coupon%20%7Bid%7D%2001cbdfb849fa8349abe6814fab4b28e8.md), /admin/coupon/{id}/status (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20coupon%20%7Bid%7D%20status%20594bdfb849fa823fbdcb017c0a6e0928.md)"
관리자,QNA관리,admin/qna,관리자_QNA관리,상,기존 관리자가 QNA관리 페이지에 진입한다,"/admin/qna (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20qna%208eebdfb849fa82808394819edaacee09.md), /admin/qna/{id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20qna%20%7Bid%7D%20330bdfb849fa83eca158812fc0ff5fd6.md), /admin/qna/{id}/answer (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20qna%20%7Bid%7D%20answer%2068cbdfb849fa82709a088166abdb2c82.md)"
관리자,분류관리,admin/category,관리자_카테고리 페이지,상,기존 관리지가 카테고리 관리 페이지에 진입한다,"/admin/category (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20category%20183bdfb849fa8374a1e101d87f03b73d.md), /admin/category (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20category%20464bdfb849fa83ffad15817ec244f624.md), /admin/category/{id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20category%20%7Bid%7D%203abbdfb849fa82e8a7228101db3d340e.md), 제목 없음 (https://app.notion.com/p/39153333572b809b9319c4fce5c361c6?pvs=21), /admin/category/{id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/admin%20category%20%7Bid%7D%20b96bdfb849fa832695b281bd45374b63.md)"
,,,,,,